,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,IN_TREINEIRO,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Q001,Q002,Q005,Q006,Q025,Q026,Q027,Q028,Q046,Q047
0,4314902,Porto Alegre,43,RS,24,M,0.0,1,1,1,4,1,0,1,1,1,1,436.3,495.4,581.2,399.4,1,1.0,520.0,D,D,3,C,A,C,H,E,A,A
1,2304707,Granja,23,CE,17,F,0.0,3,1,2,0,2,0,1,1,1,1,474.5,544.1,599.0,459.8,1,1.0,580.0,A,A,5,B,A,A,Z,F,B,A
2,2902005,Aracatu,29,BA,18,F,0.0,1,1,1,1,1,0,1,1,1,1,439.7,583.2,410.9,364.5,0,1.0,620.0,E,E,5,C,B,A,Z,F,A,A
3,5102637,Campo Novo do Parecis,51,MT,18,F,0.0,3,1,2,0,2,0,1,1,1,1,420.1,604.2,484.5,529.2,0,1.0,560.0,E,D,3,C,B,C,E,B,B,A
4,4301602,Bagé,43,RS,18,F,0.0,1,1,1,1,1,0,1,1,1,1,619.6,625.8,611.2,566.7,0,1.0,620.0,G,F,4,L,B,A,Z,F,A,D
5,2601904,Bezerros,26,PE,16,F,0.0,3,1,2,0,2,0,1,1,1,1,500.5,555.2,521.8,372.4,1,1.0,680.0,H,E,3,B,B,A,Z,F,B,A
6,2603207,Caetés,26,PE,29,F,0.0,3,1,1,8,1,0,1,1,1,1,413.4,407.9,533.9,419.6,1,1.0,520.0,A,B,4,B,A,C,M,D,A,A
7,2111300,São Luís,21,MA,17,F,0.0,3,1,2,0,2,0,1,1,1,1,503.4,509.6,490.1,369.9,1,1.0,580.0,D,E,3,B,A,A,Z,F,B,A
8,4314902,Porto Alegre,43,RS,27,M,-1.0,3,1,1,7,1,0,1,1,1,1,402.6,556.9,599.0,464.2,0,1.0,360.0,B,E,4,B,A,B,C,C,A,A
9,2401859,Caiçara do Norte,24,RN,18,M,0.0,3,1,1,2,1,0,1,1,1,1,477.8,462.9,511.9,453.4,0,1.0,360.0,B,A,3,A,A,A,Z,F,A,A
10,4108403,Francisco Beltrão,41,PR,16,M,0.0,1,1,3,0,1,1,1,1,1,1,561.8,640.8,596.5,480.4,0,1.0,720.0,F,G,2,J,B,C,B,C,C,D
11,2101202,Bacabal,21,MA,24,F,0.0,2,1,2,0,2,0,1,1,1,1,474.4,540.0,517.4,402.4,1,1.0,460.0,A,A,3,B,A,C,J,D,B,A
12,1501709,Bragança,15,PA,20,M,0.0,3,1,1,1,1,0,1,1,1,1,395.5,425.2,569.5,475.8,1,1.0,520.0,D,C,5,B,A,A,Z,F,A,A
13,3162005,São Gonçalo do Sapucaí,31,MG,18,F,0.0,1,1,2,0,2,0,1,1,1,1,471.9,628.0,588.2,518.0,1,1.0,780.0,C,B,3,C,A,A,Z,F,B,A
14,3143302,Montes Claros,31,MG,18,F,0.0,3,1,1,1,1,0,1,1,1,1,484.8,485.3,559.1,475.3,1,1.0,500.0,D,D,4,B,B,A,Z,F,A,A
15,3205002,Serra,32,ES,19,M,0.0,3,1,2,0,2,0,1,1,1,1,473.2,439.1,472.8,430.8,0,1.0,400.0,B,B,4,B,A,B,A,C,B,A
16,3550308,São Paulo,35,SP,19,F,0.0,3,1,2,0,2,0,1,1,1,1,390.4,521.3,522.5,377.3,0,1.0,440.0,B,C,5,C,B,B,C,A,B,A
17,4109401,Guarapuava,41,PR,21,M,1.0,3,1,1,4,1,0,1,1,1,1,475.8,530.0,483.1,467.3,1,1.0,520.0,B,B,2,F,A,C,C,E,A,A
18,2111300,São Luís,21,MA,21,F,0.0,3,1,1,2,1,0,1,1,1,1,413.6,522.3,530.1,553.9,1,1.0,780.0,E,C,4,B,B,B,I,D,A,A
19,2611101,Petrolina,26,PE,17,F,0.0,3,1,2,0,2,0,1,1,1,1,510.0,560.2,424.6,394.0,0,1.0,720.0,E,D,3,B,A,A,Z,F,B,A
20,2304459,Fortim,23,CE,19,M,0.0,1,1,2,0,2,0,1,1,1,1,440.0,477.2,470.5,415.5,1,1.0,600.0,B,B,5,D,A,A,Z,F,B,A
21,3304557,Rio de Janeiro,33,RJ,17,F,0.0,3,2,2,0,2,0,1,1,1,1,430.6,544.2,402.9,427.3,1,1.0,620.0,C,C,5,A,A,B,C,E,C,A
22,3503901,Arujá,35,SP,24,F,0.0,2,1,1,6,1,0,1,1,1,1,449.7,485.0,518.5,508.0,0,1.0,520.0,D,C,5,D,B,C,F,D,A,A
23,1303403,Parintins,13,AM,17,F,0.0,3,1,2,0,2,0,1,1,1,1,465.7,559.7,542.5,563.6,1,1.0,760.0,A,D,8,B,A,A,Z,F,B,A
24,4314407,Pelotas,43,RS,18,F,0.0,1,1,2,0,2,0,1,1,1,1,477.3,554.3,441.9,383.2,1,1.0,420.0,C,F,4,H,B,A,Z,F,B,A
25,2902401,Aurelino Leal,29,BA,15,M,0.0,3,1,3,0,1,1,1,1,1,1,467.8,512.9,452.4,470.0,1,1.0,600.0,E,G,3,F,B,A,Z,F,C,D
26,5103403,Cuiabá,51,MT,18,F,0.0,3,1,1,1,1,0,1,1,1,1,407.8,559.8,479.3,435.4,1,1.0,640.0,B,E,4,C,B,A,Z,F,A,A
27,3118601,Contagem,31,MG,24,F,0.0,3,1,1,8,1,0,1,1,1,1,401.4,506.9,518.0,373.9,1,1.0,600.0,H,E,4,C,B,C,D,A,A,A
28,4205407,Florianópolis,42,SC,17,M,0.0,1,1,1,1,1,0,1,1,1,1,448.9,639.2,604.4,542.4,0,1.0,720.0,E,G,3,G,B,A,Z,F,A,B
29,1302603,Manaus,13,AM,18,F,0.0,3,1,2,0,2,0,1,1,1,1,373.4,518.4,521.8,405.7,1,1.0,480.0,H,D,5,E,B,A,Z,F,B,A
30,3151909,Pocrane,31,MG,18,M,0.0,1,1,2,0,2,0,1,1,1,1,560.8,586.9,623.0,555.6,0,1.0,620.0,B,C,3,D,B,C,E,D,B,A
31,4124053,Santa Terezinha de Itaipu,41,PR,16,M,0.0,1,2,3,0,1,1,1,1,1,1,593.9,549.4,603.1,539.7,0,1.0,480.0,C,C,4,H,B,C,C,B,C,A
32,2916401,Itapetinga,29,BA,16,F,0.0,2,1,3,0,1,1,1,1,1,1,498.2,619.9,515.7,390.3,1,1.0,620.0,E,E,6,C,B,A,Z,F,C,A
33,2112209,Timon,21,MA,18,F,0.0,1,1,2,0,2,0,1,1,1,1,461.4,587.4,578.4,423.5,1,1.0,620.0,E,F,4,D,B,A,Z,F,B,A
34,2211001,Teresina,22,PI,19,F,0.0,3,1,1,1,1,0,1,1,1,1,524.5,581.0,586.5,471.1,1,1.0,600.0,H,E,7,D,B,A,Z,F,A,D
35,1714203,Natividade,17,TO,21,M,0.0,2,1,1,3,1,0,1,1,1,1,412.6,396.3,443.2,354.6,1,1.0,320.0,D,G,6,D,A,B,D,A,A,A
36,2606002,Garanhuns,26,PE,19,M,0.0,1,2,2,0,2,0,1,1,1,1,366.7,424.2,450.4,345.7,0,1.0,380.0,C,C,4,B,A,A,Z,F,B,A
37,2304400,Fortaleza,23,CE,18,F,0.0,2,1,3,0,1,0,1,1,1,1,440.3,493.9,536.4,443.8,1,1.0,420.0,H,H,4,C,A,A,Z,F,C,A
38,3513009,Cotia,35,SP,18,F,0.0,1,1,1,1,1,0,1,1,1,1,377.9,527.3,493.6,629.3,0,1.0,460.0,E,E,2,C,A,B,D,D,A,A
39,5217609,Planaltina,52,GO,21,M,0.0,3,1,1,2,1,0,1,1,1,1,595.1,565.7,577.4,393.6,1,1.0,560.0,B,E,4,D,B,C,G,E,A,A
40,3144805,Nova Lima,31,MG,18,M,0.0,3,1,2,0,2,0,1,1,1,1,561.1,610.8,607.5,708.5,1,1.0,520.0,F,F,5,H,B,A,Z,F,B,A
41,1506807,Santarém,15,PA,20,M,0.0,3,1,1,1,1,0,1,1,1,1,384.5,512.4,527.4,371.8,1,1.0,560.0,C,D,5,B,A,B,D,A,A,A
42,2203701,Esperantina,22,PI,19,F,1.0,3,1,3,0,1,0,1,1,1,1,419.9,467.9,387.4,378.7,1,1.0,600.0,H,C,2,A,A,A,Z,F,C,A
43,3525508,Joanópolis,35,SP,18,F,0.0,1,1,1,1,1,0,1,1,1,1,460.9,468.0,516.4,468.5,0,1.0,640.0,B,D,4,B,A,B,D,A,A,A
44,4106902,Curitiba,41,PR,19,F,0.0,1,1,1,1,1,0,1,1,1,1,596.2,610.4,562.7,728.3,0,1.0,780.0,G,F,3,I,B,A,Z,F,A,D
45,5208608,Goianésia,52,GO,17,M,0.0,3,1,2,0,2,0,1,1,1,1,443.8,470.9,503.5,434.2,1,1.0,360.0,E,E,5,D,A,B,D,D,B,A
46,2310902,Piquet Carneiro,23,CE,16,F,0.0,1,1,3,0,1,1,1,1,1,1,493.5,504.1,431.9,414.1,1,1.0,500.0,C,C,4,B,A,A,Z,F,C,A
47,3304557,Rio de Janeiro,33,RJ,18,M,0.0,2,1,3,0,1,0,1,1,1,1,482.2,590.8,604.4,457.8,0,1.0,360.0,H,D,2,D,B,A,Z,F,C,A
48,1500800,Ananindeua,15,PA,16,F,0.0,3,1,2,0,3,0,1,1,1,1,446.0,518.9,530.2,370.8,1,1.0,640.0,E,E,5,G,B,A,Z,F,B,D
49,3303500,Nova Iguaçu,33,RJ,16,F,0.0,2,1,3,0,1,1,1,1,1,1,437.3,449.1,521.7,412.4,0,1.0,500.0,B,D,4,D,B,A,Z,F,C,A
